BMI,GDP_per_capita,Schooling,Life_expectancy
27.3,46339,11.8,80.9
26.2,2167,5.4,72.2
26.3,8943,9.2,73.9
26.2,26763,9,80.8
24.8,7086,7.7,62.2
26.4,6307,11.3,76.4
25.9,5525,10.4,75.2
25.7,18585,8.6,80.7
22.1,174,2.1,50.9
22.9,686,2.5,58.3
21.6,464,1.6,58.8
21.3,825,3.7,64.7
29.3,1497,7.4,64.7
22.9,8745,5.4,54.1
26.9,31323,12.6,81.4
28.4,29591,6.1,73.3
25.9,6313,7.8,71.2
21.6,794,6,44.6
26.5,7098,8.2,71.7
26.2,6187,7.6,72.8
27.5,4890,9.6,74
25.6,5260,8.6,73
20.4,762,3.7,58.7
22.2,1586,4.6,64.3
25.1,41087,11,78.2
21.2,1024,5.1,70.3
26.9,8581,7,74.9
25,3923,6.2,70.2
28.6,4688,6.6,69.9
26.9,7295,7.8,77.6
23.1,1217,4.4,64.2
23.4,603,2.9,57
23.2,4263,6.8,71.7
26,3606,4.9,71.5
25.5,900,10.3,67.9
25.5,44550,11.8,80.9
22.8,701,2.2,56.6
25.3,22344,8.4,75.3
26.1,9124,11.6,69.7
22.6,562,2.3,52.3
25.3,3057,9.9,65.4
28.6,10099,7.9,74.7
26.4,6048,12,72
25.8,19951,7.7,78.3
25.4,2837,6.5,67.4
29.4,3076,7.7,66.8
23.2,1247,4.4,64.4
22.1,289,3.4,47.8
21.8,1968,7,66.3
23,569,3.5,62.5
27.5,48746,12.7,76.6
25.7,2553,6.5,68.2
24.1,1282,4.5,65.3
22.2,1244,6.7,57.1
24.9,1991,3.8,61.4
25,4249,6.5,69.7
23.6,14099,5.5,55.9
26,5178,8.4,74.4
21.5,381,3.3,60.7
21.7,433,5.8,57.9
27.2,12760,6.4,71.9
22.3,2514,7.1,68.5
22.4,476,2.8,45.5
26.2,25655,8.6,79.9
25.7,1619,10.8,72.1
26.7,11167,11.7,73.9
22.5,2172,5.8,55.6
23.3,2722,2.6,65.5
27,18189,10.7,71.9
25.6,2676,9.1,75.2
27.2,35711,12.9,82.2
24.8,3962,6.5,72.9
25,1810,4.5,71.2
22.1,429,3,50.9
21.6,470,2.9,44.1
25.7,6046,11.2,65.7
29.8,1453,7.9,66.7
20.3,453,2.3,61.6
27.1,43621,12.6,81
27.9,4809,10.3,70
28.5,34322,6.1,73.4
20.9,413,1.1,50.6
28.4,29186,6.2,73.2
26.8,6810,8.5,71.9
25.4,2534,4.2,74.4
26.9,22118,9.6,79
27.2,46001,11.3,80.8
22.8,981,2.8,58.3
25.6,94244,10.5,77.8
21.5,572,1.2,48.1
24,4588,6.6,60.5
27.1,15609,8.6,77.2
23.8,1267,3.9,59.6
26.5,14260,9.1,73.1
27.7,10550,7.6,76.2
22.6,3177,10.8,75.6
27.5,8569,8.2,75.1
25.4,7318,11,78.5
24.9,34190,10.2,79.1
22.1,818,5.3,59
26.3,3206,5.6,45.3
24.5,1685,8.4,63.8
22.5,1764,5.2,47.2
25.7,1754,10.6,67.4
24.2,1379,3.4,61.3
27.1,34961,12.8,82.1
27.5,1579,6.3,73.6
26.2,3511,11.5,74.3
23.7,14614,5.5,56.3
26.1,5250,9.8,67.2
26.1,9507,11.5,68.7
24.8,1277,9.1,67.2
23.1,3211,5.8,50.9
26.7,2302,6.3,74.5
26.9,11557,12,74.9
26.7,11749,10.8,76.5
23.2,13283,5.4,54.6
24.4,7092,7,58.6
25.7,10717,10.6,74
24.3,804,5.2,43.1
21.2,527,4,47.2
27.9,7723,7.3,72
25.7,1561,10.4,67.8
28.9,10619,8.4,75
22.9,769,2.6,59.6
25.6,47865,12.4,80.7
24.7,1554,5.3,69.1
26.1,10859,12.2,76.2
28,3923,9.7,72.3
25.4,32351,8.6,79.8
30.7,3433,9.1,69.5
27.7,13272,9.9,79.3
27.7,18220,7.5,73.2
24.2,6728,8,73.2
25.9,3139,9.1,68.6
26,53821,10.4,81.6
25.7,34081,9.4,81.4
25.2,4256,6.8,70.2
26.8,40368,12.5,81
26.2,10146,9.1,73.8
25.1,2211,4.1,62.3
26,51545,12.4,82.2
23.5,46180,10.2,80.4
22.1,467,3.3,45.2
25.4,4683,6.9,71.6
27,23369,9.9,79.4
25,3502,7.4,75.2
26.1,35310,13.3,78.9
26.4,9840,9.3,76.6
23,3332,7.9,70.8
27.1,45932,12.2,80.7
27.5,4353,10.1,69
23,11559,5.4,54.3
22.7,2272,6,59.3
23.6,1218,5.1,52.8
25.3,42496,10.1,79.9
21.4,392,5,55.7
26.3,9673,8.1,71
26.5,23929,10.4,78.4
26.3,22382,10,78
22.5,399,3,59.9
25.4,9960,11.7,70.4
25.9,3093,11,72.8
26.7,35794,10.9,71.9
25.1,39815,9.6,78.6
21.2,2123,7.6,74.9
26.3,72823,12.7,80.8
29.7,1366,7.9,66.1
24.5,1431,5,67.9
25.9,8555,11.5,67.1
22.6,569,3.4,56.1
26.4,6922,7.8,73.2
21.8,454,6,58.4
23.5,768,3.2,57
25.9,22297,11.9,78.8
23.3,1052,3.2,60.1
27.1,12237,11.8,75.8
25.8,20280,11.8,78.1
26.1,1472,5.3,70.6
27.8,31408,11.1,72.6
23.7,1296,3,60.7
25,3195,3.7,67.8
23.2,5647,7.3,74.4
23.7,1230,5.2,53.2
26.3,12425,12.2,71.8
27.9,9617,8.6,74.9
23.6,2106,4,69.9
27.5,3493,5.8,68.3
25.9,8559,7.8,73.1
25.1,4099,6.5,73.8
23.6,1081,4.3,62
25.5,8915,10.3,73.1
24,5295,8.4,53.4
27,17830,12.7,78.6
25.3,52405,12.8,80.7
25,7818,8.2,73
23.5,1077,3.5,60.6
23.8,654,3.3,60.7
25,3851,6.9,74.6
25.6,7878,11.5,74.6
21.6,328,2.8,59.7
20.5,733,4.5,67.3
26.6,15905,9.1,77.5
26.1,24708,8.5,79.4
26,2131,10.7,69.7
26.3,6149,9.8,67.6
22.2,480,3.4,46.2
24.8,4665,9.8,77.5
23.3,537,4.5,59.2
27.1,7207,8.6,72.1
25.9,6206,10.9,75.1
24.1,6488,8.2,73
22,2245,10.4,74.7
26.4,2487,11.3,70.4
27.1,18000,10.5,81.4
25.7,5271,10.4,73.9
24.8,1489,4.3,63.7
24.9,2066,7.2,63.6
21.7,631,3.8,64.5
26.8,6684,7.6,77.3
27.6,9587,7.5,75.4
27.4,4884,9.4,74
26.9,2720,11.6,71.3
26.1,40421,11.5,81.3
26,5463,10.7,75.3
21.5,1347,5.6,67.5
27,1916,6.4,73.2
22.7,33011,11.8,82.6
24.9,21188,8.8,76.3
24.7,6022,6.8,72.1
23.7,905,3.7,58
25.5,7451,11.1,74.2
25.4,45939,12,80.3
25.4,43195,11.8,80.1
27.5,7938,8.4,78.7
26,43637,12.4,80.6
26,3522,9.2,69
27,16594,12.6,78.2
23.2,2018,2.3,67.9
22.7,6983,5.4,53.6
25.4,4529,10.3,73.2
26.2,3678,9.3,76.9
28.7,39850,5.8,73.5
22.1,747,2.1,56.4
30,1535,7.9,67.3
21.4,319,2.7,58.6
29.1,3042,6.3,65.7
22.5,2845,4.5,52.2
26.8,31718,12.6,81
27.4,3591,6.6,71.9
25.8,5436,10.7,73.8
26.8,3308,5.8,70.5
28.6,54213,13.3,78.7
25.7,5629,10.4,72.6
26.5,8814,7.6,75
26,24361,9.5,83.1
26.3,5577,8.4,69.3
25.5,21296,5.6,72.6
26.1,5969,7.5,72.5
22.4,2589,4.5,51.1
20.7,487,3.2,58.4
23.2,1176,6.4,58.7
26.4,34227,11.2,79.3
22.5,31431,10.7,81.1
25.5,7937,6.5,72.6
27.6,16095,7,72.9
25.6,3028,9.8,67.8
26,5881,7.4,72.3
26.3,9215,7.4,74.7
26.4,2466,11.3,71.2
26.4,11656,12.1,77
26.2,2215,11.3,69.2
26.1,8158,7.9,77.9
26,2993,5.2,68.9
21.8,780,2.2,52.8
31.7,3817,9.8,69.9
22.8,296,2.1,54
23.7,8016,7.7,75.9
25.3,2247,9,74.6
26.4,11245,8.2,76.3
26,7950,11.4,66.7
26.7,26020,11.5,79.4
20.7,9011,3.9,64.7
25.8,6881,8.7,75.4
26.8,36178,10.9,72
23,2555,2.2,64.5
26,7427,8.9,75.7
22.4,684,1.6,54.9
29.5,29870,7.1,75.1
25.8,39351,9.5,78.1
26.3,12550,10.1,75.7
27.6,9800,7.4,74
21,456,1.3,50.9
28.4,51996,13.2,78.4
24.2,3011,5.1,71.1
25.7,8275,11.6,74.8
26.9,43596,13.1,81.9
20.1,310,1.9,56.2
26.6,13825,8.9,73.1
24.1,4782,6.7,61.4
26.3,2315,11.3,70.3
23.4,15906,5.5,55.3
25.4,2630,9.5,67.4
27.7,48727,12.7,76.8
25.8,2912,9.1,68.1
22.2,963,4.3,64
26.9,9097,8.7,72.4
22.5,1685,5.2,46.8
22.9,4319,7,73.6
26.6,10956,9.8,73.1
26,15402,9.3,75.7
20.5,1020,4,66.3
22.3,354,2.7,58.8
25.9,4819,8.4,74.1
25.9,5089,8.2,68.3
22.7,1150,2.4,64.3
28.9,3473,6.7,70.5
21.8,1847,4.4,47.1
25.6,29980,10.1,83.1
26.1,14890,12.1,76
25.3,4043,7.8,75.7
26.7,43137,12.2,79
26.4,3060,5.7,69.7
23.9,1247,5.2,54.6
26.6,3953,9.7,78
24.2,1344,6,57.1
24.9,1146,6.1,51
21.2,425,2.7,53.6
25,76785,12,81.2
22.3,480,3.2,52.3
20.8,539,3.3,60.3
23.5,578,3.8,56.4
25.6,6816,7.7,68.3
23,3111,5.8,51.4
22.2,821,5.4,59.9
21.6,675,3.1,66.7
28.4,20628,9.5,74.7
21.7,1606,6.3,68.6
26.9,16607,12.4,78.1
25.7,96270,10.7,78
24,1248,5.3,55.1
26.5,24798,10.5,78.5
26,5834,11,75.1
25.7,4439,8.1,73.5
23.6,791,3.4,57.2
26,5867,7.8,76.1
22.7,2981,7.6,69.9
26.5,5374,8.8,53.4
26.4,14264,13,74.3
26.6,14070,11.6,75.7
25.7,33530,9.5,81.5
27.7,35916,12,80.9
23,2404,5.2,50.9
23.8,5164,7.7,74.2
25.8,6460,10.5,73
21.9,459,3.2,44.4
24.9,1791,4.4,71
24.3,1339,4.6,59.8
25.5,44299,11.9,81.1
24.9,4209,6.4,69.4
23.6,819,3.5,57.4
21,361,2.4,49.9
23.8,1768,6.9,62.1
27.1,18134,9.8,79.3
26.9,9233,9.4,77.1
28.3,20176,9.5,74.4
26,6069,8,76.3
26.3,7154,8.1,71.6
23.2,3298,5.8,50.6
22.4,522,4.1,53.9
23.6,2283,3,66.1
25.5,4216,8.3,76.4
29.6,10280,8.7,75.4
23.4,6832,3.2,71.7
26.2,3407,11.4,74.1
21.6,610,4.4,51.7
26.7,26182,11.3,79.2
21.9,320,2.3,56.8
31.7,3967,10.1,69.9
23.4,1291,6.8,43.2
25.6,92528,10.3,77.9
26.1,13987,9.2,75.8
21.3,491,1.3,52.6
28,10141,7.6,74.3
25.4,1871,4.9,69.5
26.4,6433,9.8,67.7
28,57624,8.8,78.3
22.7,1948,5.2,48.3
22.8,1261,6.1,59.9
24.5,962,5.4,43.4
22,2109,7.3,67
20.1,1295,5.8,73.4
25.4,22336,8.4,75
25.3,3816,7,71.2
26.6,14285,9.2,76.5
20.6,307,1.8,49.1
26.8,4620,9.3,66.4
22.8,381,4.4,62
22.2,661,1.6,53.2
24.2,1258,4.8,63.2
21.9,683,3.8,66.2
26.2,13525,9.2,76
25.4,3353,9.9,65.7
25.8,2877,6.6,68.8
26.9,44121,12.8,79.6
25.6,966,10.3,68.5
25.6,30258,10.3,82.7
27,16951,12.8,78.8
27,7029,8.6,72
22.2,587,4.3,51.4
24.7,1870,3.5,69.2
26.1,14205,12.4,74.8
27.2,3447,6.5,71.4
26.6,2255,11.1,69.6
22.6,1197,4.9,65.8
22.1,821,4.2,68.8
22.8,808,5.1,58.6
26.3,5622,12,70.4
25.5,4841,7.3,74.1
21.4,488,2.9,57.1
24.4,556,10.6,64.5
31.9,4043,10.9,70.1
23,2499,6.3,62
22.5,1168,4.8,65.4
28.9,2984,5.3,64.9
26.6,15158,9.5,74.3
23.4,2387,2.3,68.8
25.8,2099,5.1,70.7
22.3,1061,2.4,58.7
23,3605,6.3,70.8
25.5,45193,12.1,81.5
25.7,18833,8.9,81.1
22.7,2472,1.7,62.9
26.4,9593,8.2,71.1
23.1,617,2.7,55.1
22,1068,6.5,52.6
22.4,724,2.2,57.2
28.1,33246,10,76.5
21.6,306,2.9,60.1
27.9,34580,9.7,76.1
26.6,11937,11.5,73.7
22.7,370,4.4,59.9
20.1,828,3.7,55.3
25.7,31185,9.9,82.2
26,19868,8.3,75.9
21.3,629,2.9,65.8
25.7,5148,10.4,74
25,36205,11.2,82.2
27.1,21560,10.3,80.4
25,3966,7.8,66.1
22.9,2286,5.2,50.4
26,2603,8,68.5
26.9,53543,12.4,81.7
28.5,4782,9.9,73.3
20.7,1186,4.4,67.2
20.1,934,3,61.9
26.5,5329,8.2,73.5
25.6,6488,7.7,68.1
23.3,6153,7.4,74.7
25.9,5344,10.5,74.8
23.5,2348,3,66
22.7,590,3.5,57.2
25.5,7607,11.4,74.5
26.4,7075,11.8,74.6
22.8,3391,6.9,73
25,35826,10.6,80.8
26.7,17047,12.2,77
22.7,588,3.4,52.9
28.8,62733,9.9,79.5
22,639,1.4,58.9
23.7,1087,4.3,62.7
24.9,6939,7.6,72.6
26.3,10539,11.7,71.4
27.3,13896,9.8,75.6
26.4,43139,11,77.1
23.1,2603,6.3,62.6
22.6,689,1.6,56.9
31.3,3790,9.1,69.7
21.6,573,3.3,62.1
24.8,2068,8.6,65.1
25.5,10915,7.5,73.3
27.3,1532,5.8,74.4
25.7,7849,10.6,71
25,35214,10.4,80.2
28.2,979,5.1,69.9
22.2,2289,7.9,67.7
28.2,35496,10.3,76.9
21.8,582,1.4,57.1
23.9,1284,4.3,58.7
22.4,707,1.9,54.2
21.9,1048,4.6,67.9
25.5,2472,3.9,47.5
25.7,982,10.4,69.1
25.3,6977,7.4,72.6
25.6,4512,8,67.5
29.3,3015,7,66.3
27.4,16619,9.9,78.5
29,1541,7.1,64
25.1,22112,8.4,75.6
25.4,4638,6.7,74.5
26.4,40069,14,80.5
26.3,4107,9.6,65.7
21.7,1503,6.1,68.3
26.4,4326,7.2,72.7
25.8,39148,11.1,79.4
26.3,15547,12.3,76.8
25.8,18062,9.2,75.4
27.6,3706,6.6,72.4
26.8,13630,9.9,77.8
26,6428,10.6,73.5
22.5,544,3.4,54.9
26.1,11400,9.7,75.2
27.1,11583,6.3,71.7
24.7,2059,7.4,62.5
23.5,7553,3.3,72.4
25.7,2622,6.5,68.4
26.7,3630,6.5,53.6
27,4337,5,69.1
23.2,780,3.6,52.8
23.2,593,2.8,56.1
23.5,1559,4.4,53.6
24.5,1396,4.7,60.1
22.2,501,4.1,53.7
27.4,34229,10.9,72
26.8,1761,6.1,72.7
27.1,18026,10.8,72.2
31.4,4012,9.9,71.4
23.7,863,3.6,57.7
23.6,850,7,46.5
23.7,634,4,59
28.9,4164,10.3,74.1
26.2,12893,12.2,72.4
20.3,674,4.3,66
26.4,2069,10.9,68.3
26.4,8058,8.3,72.9
23.1,948,5.8,63.1
29.4,30857,6.9,75
25.2,7385,8.1,64.9
21.7,341,2.5,49.6
22.1,1067,1.9,57.8
26.1,3099,11.2,73.6
25.5,35943,10.2,78
26.8,25466,11.6,79.6
26.7,6668,7.5,76.9
26.8,49382,11.7,78.9
25.3,2980,5.2,73.6
23.3,1715,6.7,44
26.9,5500,10.7,72.3
23.8,1136,4.4,63.4
23.2,2687,6,53.1
24.3,5840,7.6,76.1
25.7,2851,9.2,75.4
26.6,8671,10.9,74.9
23.3,14620,5.4,54.8
25.3,34064,8.3,73.1
26,3060,5.1,42.7
28.2,2830,5.6,69.4
22.4,1321,6.8,59.7
22.2,1135,5.6,52.4
25.1,1371,5.1,62.1
21.8,669,3.7,65.4
26.1,50947,11.9,82.1
22.5,516,2.9,47.5
29,62785,9.8,79.6
25.1,82678,13.3,82.7
22.5,1239,5.9,56.1
26.1,3875,10.1,69.1
22,455,3.3,44.7
25.7,7653,7.6,73
23.9,7662,6.5,57.8
24,1283,3.2,61
25.7,19250,9.1,81.1
21.9,753,3.9,62.7
25.2,4012,7.6,75.4
22.9,845,5.1,59.5
25.8,5468,7.5,75.7
22.5,692,4.8,54.3
24,1237,4.6,62.6
23.4,554,4.7,59.6
27.1,45386,12.1,80.2
28,3849,9.6,72.1
25.5,44055,12.1,81.3
26.3,23018,10.1,78.1
25.8,40290,11.1,79.8
26,6423,10.7,72
24,754,4.4,61.2
26.3,2450,11.3,70.8
22.3,700,2.1,56.8
25.9,8204,7.7,69.6
26.2,20747,12.2,80
25.1,6896,6.2,71.2
22.7,280,2.1,53.7
22.3,655,1.6,54.1
24.6,1446,5.1,68.3
27.8,37219,12.1,81.4
27.7,17385,7.1,73.1
22.8,566,2.3,53.1
26.9,42316,12.8,81.6
25.3,9033,6.3,77.7
24.9,1120,6.1,49.9
24.3,1243,4.8,63.5
27.5,18384,10.8,72.9
24.3,1585,3.4,61.6
21.2,306,2.5,55.7
28.4,38663,10.6,77.3
26.2,11240,12.3,73.1
20.6,1104,4.4,66.8
21.7,1939,10.2,73.1
25.6,8259,6.7,73
26.4,2004,10.6,68
27,10945,8.5,79.1
25.9,14488,11.2,74.7
25.5,17302,11.5,76
26.5,9725,8.1,78.4
27.4,14010,6.8,72.2
27.3,9214,8,75.3
24.9,2077,3.9,61.7
25.1,3282,8.1,71.5
26.5,12796,12.7,74
25.5,1656,9.9,68.7
26.2,20157,11.7,80.1
21.5,1112,4.2,61.1
25.3,1560,9.8,68.4
25,8248,9.8,74.5
25.8,19365,8.3,80.5
25.2,1846,4.6,71.5
31.2,3949,9.7,70.9
25.1,3957,7.4,75.2
21.7,554,1.4,56.4
22.2,578,2.3,50.7
22.7,2433,8.9,69.8
24.9,34015,10,79.2
22.5,359,4.3,55.6
25.4,13793,9,74.6
25.5,7016,7.4,72.9
22.2,2115,5.7,53.1
24.3,510,10.6,63.7
23,3128,4.8,57.2
28.1,4148,9.7,72.4
25.4,7138,10.8,78.4
27.1,6232,9.8,60.1
26.6,28810,12.3,80.2
25.7,19110,7.4,77.7
26.2,51233,12.2,82.9
25.8,10790,7.7,72.1
23.1,708,2.6,59
27,10129,5.9,71.2
21.2,371,4.5,54.4
24.4,3050,5.8,71.9
25.7,1420,10.7,67.7
23.7,968,3.8,58.3
25.8,34490,11.2,77.9
23.1,1397,6.3,63.4
25.6,2415,7.6,66.9
22.4,847,5.7,61.4
25.9,9407,11.7,72
25.3,5981,9.9,71.6
21,625,3.5,62.2
25.5,23244,8.3,74.4
26.7,13433,8.4,76.8
27.2,8484,6.2,73.2
27,6183,9.9,58.9
26.7,8727,9,76.6
20.8,463,5.5,60.8
26.4,3903,6.4,72.9
23.4,753,2.8,59.6
28.6,53395,13.3,78.6
31.7,4012,10.2,72.1
21.8,1325,4.4,62.7
26.5,47997,11.8,80.2
22.7,1255,6,58.8
23.6,53300,11.4,82.2
22.5,504,4.2,54.2
23.9,2384,4,62.2
27.6,17691,6.7,72.6
26.6,3624,6.3,51.7
20.4,731,3.7,59.5
